"model_AIC","model_AICc","model_family","model_link","model_formula","matssname","model_p","modelcomplexity","minAICc","deltaAICc","rank","begin_real","end_real","begin_sim","end_sim","ratio_sim","ratio_real","model_cor","model_cor_squared","model_begin","model_end","model_span","model_observations","real_overlap","sim_overlap","real_turnover","sim_turnover","begin_years","end_years","real_begin_mean_mass","real_end_mean_mass","sim_begin_mean_mass","sim_end_mean_mass","real_mass_ratio","sim_mass_ratio","sp_turnover_bcd","countrynum","statenum","route","routename","active","latitude","longitude","stratum","bcr","routetypeid","routetypedetailid","regionname","Best fitting model","categorical_fit","abs_log_ratio","log_ratio","isd_turnover"
1300.80322491055,1301.91433602166,"Gamma","log","timeperiod * source","bbs_rtrg_1_14",0.0023908956328396,4,1301.91433602166,0,1,59209.7869763514,81135.3644403842,74080.6669324748,62778.0962684272,0.847428875412934,1.37030326545154,0.41774610061296,0.174511804577334,1988,2018,30,30,0.833841437083295,0.93814626541661,0.166158562916705,0.0618537345833902,"1988, 1989, 1990, 1991, 1992","2013, 2015, 2016, 2017, 2018",60.1206212051503,89.325703153356,65.9883717037824,63.1067881797059,1.48577478679984,0.95633194986214,0.211672915188976,840,14,1,"HORSE CREEK",1,41.8223332,-123.0047055,93,5,1,1,"CALIFORNIA","Decoupled trends","Decoupled trends",0.395936378147406,0.395936378147406,0.166158562916705
1219.74605188197,1219.97246697631,"Gamma","log","1","bbs_rtrg_1_17",NA,1,1219.97246697631,0,1,47549.0813317118,47549.0813317118,47549.0813317118,47549.0813317118,1,1,NA,NA,1988,2018,30,28,0.77276766529235,0.891938900998608,0.22723233470765,0.108061099001392,"1988, 1989, 1990, 1991, 1992","2014, 2015, 2016, 2017, 2018",73.7003667730956,102.746598008409,85.5481775095271,94.3814551733705,1.39411243806615,1.10325500695628,0.420244190626231,840,17,1,"MAYBELL",1,40.7402199,-108.0883263,86,10,1,1,"COLORADO","No trend","No trend",0.332257967669639,0.332257967669639,0.22723233470765
1327.12651543394,1328.28036158778,"Gamma","log","timeperiod * source","bbs_rtrg_1_2",0.0101954469045912,4,1328.28036158778,0,1,94854.8343460455,62901.2147843486,136235.944073935,46268.481999343,0.33962022514582,0.663131354537766,0.664443333999809,0.441484944096781,1988,2018,30,29,0.796760783529039,0.920679206949325,0.203239216470961,0.0793207930506747,"1988, 1989, 1991, 1992, 1993","2014, 2015, 2016, 2017, 2018",64.7410538035944,122.019143159455,80.021374766402,82.3483466411244,1.88472593494733,1.0290793788724,0.507175358767938,840,2,1,"ST FLORIAN",1,34.868688,-87.6041417,14,27,1,1,"ALABAMA","Decoupled trends","Decoupled trends",0.633782417728558,0.633782417728558,0.203239216470961
1324.90309150179,1325.33166293036,"Gamma","log","timeperiod","bbs_rtrg_1_21",0.00848481532018368,2,1325.33166293036,0,1,91963.8502402228,73582.5805360569,91963.8502402228,73582.5805360569,0.800125052875109,0.800125052875109,0.31852662088039,0.10145920820948,1988,2018,30,30,0.799137812192407,0.957308402733886,0.200862187807593,0.042691597266114,"1988, 1989, 1990, 1991, 1992","2013, 2014, 2015, 2016, 2018",107.758278536212,97.0914877975678,97.2734453706954,96.2516083754633,0.901011867639853,0.989495211243541,0.329530723360124,840,21,1,"MT PLEASANT",1,39.5003037,-75.6860679,4,30,1,1,"DELAWARE","Coupled trend","Coupled trend",0.104236849829187,-0.104236849829187,0.200862187807593
1316.42060908221,1316.64702417655,"Gamma","log","1","bbs_rtrg_1_34",NA,1,1316.64702417655,0,1,116135.677516147,116135.677516147,116135.677516147,116135.677516147,1,1,NA,NA,1988,2018,30,28,0.804811820913897,0.940869353968259,0.195188179086103,0.0591306460317411,"1988, 1989, 1990, 1991, 1992","2014, 2015, 2016, 2017, 2018",77.1483187308044,111.226178464065,100.490953232016,103.595322904493,1.44171876061447,1.03089203129867,0.317108785592602,840,34,1,"GUILFORD",1,42.2101956,-90.0603721,17,23,1,1,"ILLINOIS","No trend","No trend",0.365835985593163,0.365835985593163,0.195188179086103
1244.92391190822,1245.38545036976,"Gamma","log","timeperiod","bbs_rtrg_1_36",2.83068540356634e-06,2,1245.38545036976,0,1,129196.443376637,89253.5079529393,129196.443376637,89253.5079529393,0.690835642377128,0.690835642377128,0.585896448904675,0.343274648839109,1988,2018,30,28,0.759479474329609,0.954859040271561,0.240520525670391,0.0451409597284386,"1988, 1989, 1990, 1991, 1995","2014, 2015, 2016, 2017, 2018",98.035540704075,103.860700131139,97.8743116667414,92.1237118136918,1.05941885346098,0.941245054446664,0.304057190604401,840,36,1,"MT HAMILL",1,40.7698922,-91.6797963,32,22,1,1,"IOWA","Coupled trend","Coupled trend",0.0577205063272907,0.0577205063272907,0.240520525670391
1143.77668103699,1144.23821949853,"Gamma","log","timeperiod","bbs_rtrg_1_46",0.0105319832536588,2,1144.23821949853,0,1,35833.7846431614,27930.6809079364,35833.7846431614,27930.6809079364,0.779451045600532,0.779451045600532,0.353239380353724,0.124778059832683,1988,2018,30,28,0.851360767529136,0.885150138396066,0.148639232470864,0.114849861603934,"1988, 1989, 1990, 1993, 1994","2014, 2015, 2016, 2017, 2018",58.8480753750383,79.6425166736908,69.8044302352471,80.7367290960795,1.35335805234291,1.15661325253984,0.307592190889371,840,46,1,"FLOYD",1,39.5041468,-79.1557785,24,28,1,1,"MARYLAND","Coupled trend","Coupled trend",0.302588950056738,0.302588950056738,0.148639232470864
1212.30999416796,1213.50999416796,"Gamma","log","timeperiod * source","bbs_rtrg_1_47",0.0130048555696852,4,1213.50999416796,0,1,57683.2940607341,47995.2369026036,76831.9435770745,36987.0299512134,0.48140172211197,0.832047435641765,0.601262267935961,0.361516314843496,1989,2018,29,28,0.847450121178284,0.94015100648396,0.152549878821716,0.0598489935160398,"1989, 1990, 1991, 1992, 1993","2013, 2014, 2015, 2016, 2018",77.7413973510302,132.739634219776,97.1966789877896,96.7481171691019,1.70745109739164,0.995385008794961,0.360253365003959,840,47,1,"E DENNIS",1,41.750876,-70.1656255,9,30,1,1,"MASSACHUSETTS","Decoupled trends","Decoupled trends",0.535001672164912,0.535001672164912,0.152549878821716
1218.50811528993,1218.96965375146,"Gamma","log","timeperiod","bbs_rtrg_1_52",7.76339267989417e-05,2,1218.96965375146,0,1,105327.298146137,80387.391601379,105327.298146137,80387.391601379,0.763215168491695,0.763215168491695,0.474854869583125,0.225487147166807,1988,2018,30,28,0.803229370670548,0.953906954315696,0.196770629329452,0.0460930456843043,"1988, 1989, 1990, 1992, 1993","2014, 2015, 2016, 2017, 2018",63.0804352537811,69.2525519044013,69.3590501651768,68.6943175960316,1.09784518172376,0.990416065854966,0.317069542580885,840,52,1,"DEVENTER",1,36.8252566,-89.2477946,5,26,1,1,"MISSOURI","Coupled trend","Coupled trend",0.0933493328942866,0.0933493328942866,0.196770629329452
1286.64355576642,1286.86997086076,"Gamma","log","1","bbs_rtrg_1_54",NA,1,1286.08306940743,-0.786901453328255,1,89065.0419078559,89065.0419078559,89065.0419078559,89065.0419078559,1,1,NA,NA,1988,2018,30,28,0.779819300175628,0.947280983291501,0.220180699824372,0.052719016708499,"1988, 1990, 1991, 1992, 1993","2014, 2015, 2016, 2017, 2018",91.8279301091855,159.041219268662,129.661074992548,143.26769775069,1.73194821095889,1.10493991939311,0.318198734648307,840,54,1,"JULIAN",1,40.5520447,-95.7947529,32,22,1,1,"NEBRASKA","No trend","No trend",0.549246908399248,0.549246908399248,0.220180699824372
